Posicao;Nome;Curso;Opcao;Grupo;Media
372;Taylor Acosta Flynn;Enhenharia de Producao - Sao Carlos;1;2;815.29
373;Brenna Meadows Hurst;Engenharia Agronomica - Araras;1;5;815.14
374;Lilah Kirkland Graham;Educacao Especial - Sao Carlos;1;1;815.00
375;Eaton Guthrie Fuentes;Quimica - Sorocaba;1;2;815.00
376;Keely Reeves Franklin;Engenharia Agronomica - Araras;1;2;814.86
377;Nyssa Woodward Cooke;Engenharia Eletrica - Sao Carlos;1;5;814.86
378;Yael Bird Grimes;Engenharia Ambiental - Lagoa do Sino;1;3;814.78
379;Willa Parker Tucker;Geografia - Sorocaba;1;5;814.75
380;Evan Page Gray;Engenharia Eletrica - Sao Carlos;1;5;814.71
381;Tamara Joyce Cabrera;Ciencias Biologicas - Araras;1;4;814.63
382;Hanna Finley Randall;Engenharia Civil - Sao Carlos;2;4;814.50
383;Laura Pacheco Bradshaw;Imagem Som - Sao Carlos;1;3;814.50
384;Hedley Puckett Molina;Estatistica - Sao Carlos;1;4;814.14
385;Gil Summers Duffy;Ciencia da Computacao - Sorocaba;1;1;814.13
386;Miranda Calhoun Blankenship;Engenharia Civil - Sao Carlos;1;3;814.13
387;Ulysses Paul Baker;Linguistica - Sao Carlos;1;3;813.75
388;Melodie Barker Houston;Matematica - Sao Carlos;1;2;813.71
389;Stewart Charles Bishop;Engenharia Fisica - Sao Carlos;1;1;813.57
390;Leigh Terry Kirkland;Matematica - Sao Carlos;1;4;813.57
391;Kareem Foster Singleton;Pedagogia - Sao Carlos;2;4;813.14
392;Conan Cook Myers;Enfermagem - Sao Carlos;1;1;813.13
393;Georgia Blevins Ewing;Matematica - Sorocaba;1;4;813.13
394;Kirsten Hammond Fischer;Educacao Especial - Sao Carlos;1;4;812.71
395;Whitney;Agroecologia - Araras;2;2;812.71
396;Ishmael Holman Shelton;Gerontologia - Sao Carlos;1;1;812.67
397;David Hoover Barry;Ciencia da Computacao - Sorocaba;1;1;812.63
398;Nyssa Kirkland Riddle;Ciencia da Computacao - Sao Carlos;2;3;812.50
399;Rudyard Walls Ferguson;Engenharia Civil - Sao Carlos;1;3;812.38
400;Zachary Larson Brady;Imagem Som - Sao Carlos;1;3;812.38
401;Davis Barton Carney;Educacao Fisica - Sao Carlos;1;3;812.33
402;Jarrod Travis Baker;Ciencias Econimcas - Sorocaba;1;3;812.33
403;Lysandra;Agroecologia - Araras;1;5;812.29
404;Madison Mcbride Kirby;Ciencia da Computacao - Sorocaba;1;3;812.13
405;Nero Leblanc Juarez;Ciencias Econimcas - Sorocaba;1;1;811.78
406;Clio Foreman Hyde;Enfermagem - Sao Carlos;2;1;811.75
407;Kirsten Barker Reed;Medicina - Sao Carlos;2;2;811.43
408;Shad Callahan Landry;Enhenharia de Producao - Sao Carlos;1;1;811.43
409;Owen Flynn Cameron;Engenharia Civil - Sao Carlos;1;2;811.38
410;Neil Orr Alvarado;Engenharia de Producao - Sorocaba;1;1;811.25
411;Garrison Bryant Green;Quimica - Araras;1;2;811.22
412;Marny Potter Stone;Quimica - Sao Carlos;1;4;811.20
413;Zeph Harrington Peck;Engenharia de Materiais - Sao Carlos;1;1;811.14
414;Bernard Santana Terrell;Matematica - Sao Carlos;2;1;811.14
415;Tallulah Malone Kirkland;Engenharia Quimica - Sao Carlos;1;2;811.00
416;Chester Briggs Andrews;Enfermagem - Sao Carlos;1;1;810.88
417;Rebecca Tillman Shannon;Engenharia de Materiais - Sao Carlos;1;2;810.57
418;Eve Conrad Daniels;Biotecnologia - Sao Carlos;1;5;810.50
419;Candice Norman Tanner;Administracao - Sorocaba;1;3;810.50
420;Garrison Yang Curry;Biotecnologia - Araras;1;2;810.33
421;Victor Cruz Skinner;Ciencias Econimcas - Sorocaba;1;4;810.33
422;Ciara Holman Potts;Linguistica - Sao Carlos;1;1;810.25
423;Yasir Hatfield Mullen;Ciencias Biologicas - Sao Carlos;1;3;810.25
424;Emi Robertson Sexton;Gestao e Analise Ambiental - Sao Carlos;1;5;810.13
425;Ruth Everett Barlow;Ciencia da Computacao - Sao Carlos;1;5;810.00
426;Erin Mckee Adkins;Ciencias Biologicas - Sorocaba;1;3;810.00
427;Hop Roberson Keith;Fisica - Araras;1;4;809.89
428;Malachi Crane Skinner;Administracao - Sorocaba;2;2;809.88
429;Dorothy Stewart Whitfield;Matematica - Sao Carlos;1;2;809.86
430;Mikayla Peters Watkins;Educacao Fisica - Sao Carlos;1;1;809.83
431;Timothy Park Moody;Engenharia Mecanica - Sao Carlos;2;4;809.71
432;Renee;Ciencias Biologicas - Araras;1;1;809.63
433;Kameko Hendrix Horton;Gestao e Analise Ambiental - Sao Carlos;1;3;809.50
434;Harrison Colon Ratliff;Ciencia da Computacao - Sao Carlos;1;2;809.50
435;Xenos Phelps Wagner;Ciencias Sociais - Sao Carlos;2;2;809.43
436;Lareina Waller Rodriguez;Engenharia Fisica - Sao Carlos;1;3;809.14
437;Aline Jacobson Noel;Ciencias Sociais - Sao Carlos;1;4;809.14
438;Isabella Sandoval Parker;Geografia - Sorocaba;1;1;809.13
439;Jaden Pearson Santos;Engenharia de Producao - Sorocaba;1;1;809.13
440;Xavier Lindsay Rollins;Imagem Som - Sao Carlos;1;1;809.13
441;Jena Hawkins Hale;Psicologia - Sao Carlos;1;3;809.11
442;Adria Meyers Sargent;Engenharia Agronomica - Lagoa do Sino;1;3;809.00
443;Elton Waters Saunders;Biotecnologia - Sao Carlos;1;3;808.75
444;Alea Mays Baxter;Engenharia de Producao - Sorocaba;1;5;808.75
445;Daquan Watts Guerra;Engenharia de Materiais - Sao Carlos;1;2;808.43
446;Peter Yang Welch;Matematica - Sao Carlos;1;4;808.43
447;Porter Strickland Small;Agroecologia - Araras;1;1;808.43
448;Hammett Maynard Mayer;Fisioterapia - Sao Carlos;1;3;808.38
449;Orla Jenkins Gilbert;Ciencias Sociais - Sao Carlos;1;1;808.14
450;Heidi Mendoza Yang;Quimica - Sorocaba;1;1;808.00
451;Nora Blanchard Reilly;Fisica - Sorocaba;1;4;808.00
452;Ross Hoover Montgomery;Ciencias Econimcas - Sorocaba;1;1;807.89
453;Elaine Daniel Roman;Biblioteconomia - Sao Carlos;1;5;807.88
454;Brendan Blanchard Nieves;Engenharia de Computacao - Sao Carlos;2;3;807.88
455;Ruby Cortez Black;Engenharia Agronomica - Araras;1;1;807.86
456;Francis Farrell Patterson;Estatistica - Sao Carlos;1;3;807.71
457;Jescie Griffith Lamb;Psicologia - Sao Carlos;1;5;807.67
458;Gray Olson Conner;Ciencias Biologicas - Sao Carlos;1;2;807.63
459;Harding Hudson Carlson;Quimica - Sao Carlos;1;4;807.60
460;Fay Le Peters;Matematica - Sorocaba;1;5;807.50
461;Mercedes Noel Bolton;Educacao Fisica - Sao Carlos;1;1;807.33
462;Declan Garcia Cole;Engenharia Agronomica - Araras;1;1;807.29
463;Ahmed Ramsey Sweeney;Ciencias Sociais - Sao Carlos;1;3;807.14
464;Noel Mueller Macias;Engenharia Fisica - Sao Carlos;1;5;807.14
465;Savannah Hoffman Suarez;Terapia Ocupacional - Sao Carlos;1;3;807.11
466;Boris Meadows Spence;Ciencias Biologicas - Sao Carlos;1;1;807.00
467;Neve Wright Duran;Engenharia Agronomica - Lagoa do Sino;1;3;806.89
468;Petra Garner Lawrence;Pedagogia - Sorocaba;2;5;806.88
469;Hadassah Baldwin Harrison;Engenharia de Producao - Sorocaba;2;5;806.88
470;David Hardy Conley;Administracao - Sorocaba;1;5;806.88
471;Nomlanga Robinson Mccullough;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;3;806.71
472;TaShya Wilkinson Steele;Engenharia Agronomica - Lagoa do Sino;1;2;806.56
473;Sara Oneil Wilson;Engenharia Civil - Sao Carlos;2;2;806.38
474;Echo Phillips Combs;Medicina - Sao Carlos;1;2;806.29
475;Amethyst Deleon Bartlett;Ciencias Sociais - Sao Carlos;1;2;806.00
476;Grant David Jones;Quimica - Araras;1;3;805.89
477;Lee Rodriquez Sosa;Ciencias Biologicas - Araras;1;2;805.88
478;Buckminster Mooney Marquez;Matematica - Sorocaba;1;3;805.88
479;Serena Melton Burns;Filosofia - Sao Carlos;1;5;805.75
480;Wylie Fowler Charles;Ciencia da Computacao - Sorocaba;1;5;805.63
481;Maite Duncan Craft;Filosofia - Sao Carlos;1;5;805.63
482;Patricia Zamora Wheeler;Ciencias Biologicas - Sorocaba;1;5;805.63
483;Morgan Dickerson Odonnell;Matematica - Sorocaba;1;3;805.50
484;Brynn Rivas Kemp;Pedagogia - Sao Carlos;1;3;805.29
485;Burke Juarez Tyler;Engenharia Florestal - Sorocaba;1;2;805.25
486;Wing Acevedo Greer;Linguistica - Sao Carlos;1;1;805.00
487;Wade Petersen Garner;Enhenharia de Producao - Sao Carlos;2;2;805.00
488;Tasha Kramer Cooper;Ciencias Biologicas - Sorocaba;2;5;805.00
489;Ignacia Tate Cameron;Fisica - Sorocaba;1;5;804.89
490;Chloe Fowler Vargas;Linguistica - Sao Carlos;1;1;804.88
491;Kaden Michael Carson;Engenharia Fisica - Sao Carlos;1;4;804.71
492;Nadine Carpenter Norton;Engenharia Civil - Sao Carlos;1;4;804.50
493;Drake Bell Mueller;Engenharia Agronomica - Araras;1;5;804.43
494;Mikayla Wolfe Velazquez;Engenharia Florestal - Sorocaba;1;5;804.38
495;Merritt Wade Vance;Pedagogia - Sao Carlos;2;2;804.29
496;Melanie Ellison Molina;Biblioteconomia - Sao Carlos;1;5;804.00
497;Wendy Levy Kim;Ciencia da Computacao - Sorocaba;1;4;803.88
498;Rylee Goodwin Gilmore;Ciencias Biologicas - Sao Carlos;1;2;803.88
499;Britanney Moran Lopez;Matematica - Sorocaba;1;2;803.50
500;Mechelle Fields Hunter;Engenharia Mecanica - Sao Carlos;1;5;803.43
501;Stacey Russo Dorsey;Agroecologia - Araras;1;5;803.29
502;Roanna Valenzuela Cochran;Engenharia de Computacao - Sao Carlos;1;5;803.25
503;Daryl Bartlett Rivera;Educacao Fisica - Sao Carlos;1;3;803.17
504;Chester Reynolds Flowers;Pedagogia - Sorocaba;1;1;803.13
505;Reece Campbell Clemons;Engenharia Florestal - Sorocaba;1;3;803.00
506;Talon Trujillo Dawson;Administracao - Sorocaba;2;4;803.00
507;Ciara Hanson Turner;Engenharia Agronomica - Lagoa do Sino;1;1;802.89
508;Hall Lowery Clemons;Engenharia Fisica - Sao Carlos;1;1;802.86
509;Whoopi Montoya Roy;Enhenharia de Producao - Sao Carlos;1;4;802.86
510;Lunea Brady Morse;Psicologia - Sao Carlos;1;1;802.78
511;Jackson Salas Perry;Engenharia de Computacao - Sao Carlos;1;4;802.75
512;Caio Augusto;Letras - Sao Carlos;1;5;802.75
513;Stephen Sharp Robinson;Medicina - Sao Carlos;1;3;802.71
514;Sara Gallegos Spence;Fisica - Sao Carlos;1;4;802.71
515;Cherokee Padilla Farrell;Engenharia de alimentos - Lagoa do Sino;1;4;802.67
516;Florence Stevens Frye;Agroecologia - Araras;1;1;802.57
517;Chase Fletcher Figueroa;Engenharia de alimentos - Lagoa do Sino;1;5;802.44
518;Macey Goff Mcleod;Filosofia - Sao Carlos;1;2;802.38
519;Blaze Brewer Lewis;Educacao Fisica - Sao Carlos;1;2;802.33
520;Meghan Leon Gill;Gestao e Analise Ambiental - Sao Carlos;1;1;802.25
521;Nelle;Ciencias Biologicas - Araras;1;2;802.25
522;Bertha Whitfield Burks;Pedagogia - Sorocaba;2;4;802.25
523;Alexandra Ellison Castillo;Estatistica - Sao Carlos;1;2;802.14
524;Teagan Soto Grant;Engenharia Agronomica - Araras;2;3;802.14
525;Halee Schmidt Sharp;Biotecnologia - Sao Carlos;1;1;802.00
526;Dakota Molina Herring;Enfermagem - Sao Carlos;1;5;801.75
527;Yael Gregory Young;Engenharia Fisica - Sao Carlos;1;3;801.71
528;Oscar Skinner Fowler;Biblioteconomia - Sao Carlos;1;3;801.50
529;Vanna Holden Stokes;Enhenharia de Producao - Sao Carlos;2;4;801.43
530;Thomas Simpson Brooks;Fisioterapia - Sao Carlos;1;3;801.38
531;Giacomo Terry Williams;Engenharia Civil - Sao Carlos;1;3;801.13
532;Chancellor Hull Velez;Engenharia Fisica - Sao Carlos;1;5;801.00
533;Xanthus Russell Daniels;Matematica - Sao Carlos;1;1;801.00
534;Warren Austin Richardson;Fisioterapia - Sao Carlos;1;2;800.88
535;Clark Lester Patel;Gestao e Analise Ambiental - Sao Carlos;1;2;800.75
536;Irene Shaffer Franks;Pedagogia - Sao Carlos;1;3;800.71
537;Nora Zamora Ewing;Engenharia Agronomica - Araras;1;1;800.57
538;Kirestin Perry Sweet;Engenharia Florestal - Sorocaba;1;3;800.50
539;Gay Knox Hale;Ciencia da Computacao - Sao Carlos;2;4;800.50
540;Iliana Cooley Graham;Engenharia Ambiental - Lagoa do Sino;1;2;800.33
541;Pascale Pugh Waller;Biotecnologia - Sao Carlos;1;2;800.25
542;Macy Lyons Vargas;Biotecnologia - Sao Carlos;1;1;800.25
543;Josephine Ingram Michael;Psicologia - Sao Carlos;1;5;800.11
544;Prescott Barton Mann;Engenharia Ambiental - Lagoa do Sino;1;1;800.00
545;Ingrid Witt Nelson;Quimica - Araras;1;5;799.89
546;Mark Noel Crane;Letras - Sao Carlos;2;3;799.88
547;Minerva Mills Carroll;Engenharia Fisica - Sao Carlos;2;2;799.86
548;Ebony William Barron;Engenharia de Producao - Sorocaba;1;4;799.75
549;Daquan Rojas Hampton;Quimica - Araras;1;1;799.44
550;Lisandra Thomas Gibbs;Fisica - Sao Carlos;2;5;799.43
551;Brenna Bean Hines;Agroecologia - Araras;2;5;799.43
552;Joan Shepard Mercado;Engenharia Agronomica - Lagoa do Sino;1;4;799.33
553;Quynn Perkins Bridges;Ciencias Sociais - Sao Carlos;1;5;799.29
554;Bethany Noble Conner;Enhenharia de Producao - Sao Carlos;1;1;799.29
555;Leigh Strickland Harper;Imagem Som - Sao Carlos;2;4;799.25
556;Jenna Hurley Simpson;Quimica - Araras;1;1;799.22
557;Astra Fleming Reeves;Terapia Ocupacional - Sao Carlos;1;3;799.00
558;Xena Tyler Mooney;Engenharia Ambiental - Lagoa do Sino;1;4;799.00
559;Yoshi Alvarado Klein;Engenharia de Materiais - Sao Carlos;1;4;798.86
560;Phoebe Powell Wheeler;Administracao - Sorocaba;2;2;798.75
561;Paula Daniels Cain;Medicina - Sao Carlos;2;2;798.71
562;Lillian;Biotecnologia - Araras;1;2;798.67
563;Keaton Huffman Roberts;Engenharia Ambiental - Lagoa do Sino;1;1;798.44
564;Baxter Combs Slater;Engenharia Agronomica - Lagoa do Sino;1;4;798.44
565;Felicia Carpenter Tyler;Pedagogia - Sao Carlos;2;5;798.43
566;Noelani Cote Donovan;Quimica - Sao Carlos;1;5;798.40
567;Libby Lancaster Horn;Psicologia - Sao Carlos;1;5;798.33
568;Boris Lamb Weber;Educacao Fisica - Sao Carlos;1;3;798.33
569;Roth Newton Chandler;Engenharia de Producao - Sorocaba;1;3;798.25
570;Silas Norris Vaughan;Engenharia Agronomica - Lagoa do Sino;2;3;798.22
571;Roanna Mcdowell Velez;Quimica - Sao Carlos;1;5;798.20
572;Quincy Gonzales Lynch;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;5;798.14
573;Erasmus Pate Mcfarland;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;1;798.00
574;Kiayada Villarreal Francis;Quimica - Sorocaba;1;1;797.78
575;Carissa Mayo Zimmerman;Engenharia Eletrica - Sao Carlos;1;3;797.57
576;Christopher Ayala Barron;Engenharia Mecanica - Sao Carlos;1;1;797.57
577;Quynn Juarez Craft;Engenharia de alimentos - Lagoa do Sino;1;3;797.56
578;Selma Barrera Benson;Gestao e Analise Ambiental - Sao Carlos;1;3;797.50
579;Chastity Mckenzie Hester;Biotecnologia - Araras;1;4;797.33
580;Vera Vargas Tillman;Biotecnologia - Sao Carlos;1;2;797.25
581;Lavinia Barr Pruitt;Biblioteconomia - Sao Carlos;1;1;797.25
582;Bertha Haynes Lowe;Engenharia Agronomica - Lagoa do Sino;1;2;797.22
583;Freya Yang Campos;Biotecnologia - Araras;1;1;797.11
584;Dylan Hines Orr;Engenharia de alimentos - Lagoa do Sino;1;2;797.00
585;Patience Houston Henderson;Quimica - Araras;1;5;796.89
586;Kennedy Guzman Sargent;Quimica - Sorocaba;1;5;796.89
587;Emi Wong Cobb;Medicina - Sao Carlos;1;5;796.86
588;Samuel Dickson Maddox;Quimica - Araras;1;1;796.78
589;Garrett;Ciencias Biologicas - Araras;1;3;796.75
590;Quon Oneal Kline;Biblioteconomia - Sao Carlos;2;2;796.75
591;Winter Pugh Beach;Quimica - Araras;1;2;796.67
592;Britanney Knox Farrell;Engenharia Ambiental - Lagoa do Sino;2;5;796.67
593;Abra Lowe Brown;Linguistica - Sao Carlos;1;4;796.38
594;Nyssa Garrett Rich;Fisica - Araras;1;4;796.33
595;Allen Cruz Haney;Engenharia Agronomica - Lagoa do Sino;2;1;796.22
596;Karleigh Lewis Wall;Educacao Especial - Sao Carlos;1;5;796.14
597;Bo Hood Lucas;Matematica - Sao Carlos;1;4;796.14
598;Aileen Adkins Bentley;Imagem Som - Sao Carlos;1;2;796.13
599;Devin;Ciencias Biologicas - Araras;1;5;796.13
600;Gay Alexander Hopkins;Engenharia Civil - Sao Carlos;1;3;796.00
601;Karen Pierce Bowers;Psicologia - Sao Carlos;2;5;796.00
602;Lydia Andrews Petty;Educacao Especial - Sao Carlos;1;2;796.00
603;Martin Ramos Holmes;Turismo - Sorocaba;1;2;795.89
604;Jacob Burt Curtis;Engenharia Ambiental - Lagoa do Sino;2;4;795.89
605;Eden Cash Nixon;Quimica - Sao Carlos;1;5;795.80
606;Felicia Stuart Thornton;Imagem Som - Sao Carlos;2;2;795.75
607;Noelani;Agroecologia - Araras;2;1;795.57
608;Joy Vaughn Franks;Fisica - Sorocaba;1;5;795.56
609;Francesca Levy Powell;Fisioterapia - Sao Carlos;1;5;795.38
610;Madison Steele Valenzuela;Enhenharia de Producao - Sao Carlos;1;2;795.29
611;Bryar Terry Fleming;Ciencia da Computacao - Sorocaba;1;4;795.25
612;Cade Ramsey Nolan;Engenharia Eletrica - Sao Carlos;1;2;795.14
613;Regan Hodge Hester;Ciencia da Computacao - Sao Carlos;1;3;795.13
614;Molly Perry Chavez;Engenharia de Computacao - Sao Carlos;1;1;795.13
615;Signe Barron Estes;Quimica - Araras;2;1;795.00
616;Kelsey Wilson Griffith;Ciencias Biologicas - Sorocaba;1;2;794.75
617;Wendy Blankenship Giles;Linguistica - Sao Carlos;1;5;794.63
618;Tatiana Stuart Raymond;Quimica - Araras;1;5;794.44
619;Tarik Hughes Craig;Gestao e Analise Ambiental - Sao Carlos;2;4;794.38
620;Aphrodite Abbott Hernandez;Matematica - Sorocaba;1;1;794.25
621;Rhona Wise Avila;Medicina - Sao Carlos;1;3;794.14
622;Jonas Powers Ramirez;Engenharia Quimica - Sao Carlos;1;5;794.14
623;Orlando Burke Bauer;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;1;794.00
624;Bree Pierce Holland;Turismo - Sorocaba;1;3;794.00
625;Xandra Riggs Goff;Engenharia Agronomica - Lagoa do Sino;1;3;794.00
626;Dolan Reeves Mcpherson;Ciencias Biologicas - Sorocaba;2;1;794.00
627;Raven Golden Henderson;Engenharia Florestal - Sorocaba;1;2;793.88
628;Wyoming Preston Galloway;Pedagogia - Sao Carlos;1;5;793.86
629;Orson Norris Cruz;Ciencia da Computacao - Sao Carlos;1;4;793.75
630;Bradley Jordan Acevedo;Engenharia Fisica - Sao Carlos;1;1;793.71
631;Mira Ballard Chaney;Quimica - Sorocaba;1;4;793.67
632;Blake Sharpe Collier;Ciencia da Computacao - Sorocaba;1;1;793.63
633;Illiana Dickson Cox;Enhenharia de Producao - Sao Carlos;1;5;793.57
634;Ruth Nash Bean;Gestao e Analise Ambiental - Sao Carlos;1;2;793.50
635;Zoe Santos Clarke;Engenharia Civil - Sao Carlos;1;3;793.50
636;Cedric House Norton;Imagem Som - Sao Carlos;1;4;793.50
637;Colton Graves Black;Enhenharia de Producao - Sao Carlos;1;1;793.43
638;Lucius Marquez Slater;Ciencia da Computacao - Sao Carlos;1;4;793.25
639;Michael Stafford Short;Engenharia Agronomica - Lagoa do Sino;1;2;793.22
640;Whitney Cohen Jefferson;Turismo - Sorocaba;1;1;793.22
641;Yvette Hughes Austin;Psicologia - Sao Carlos;1;1;793.11
642;Brian Hoover Underwood;Ciencia da Computacao - Sao Carlos;1;4;793.00
643;Marvin Klein Mills;Quimica - Sao Carlos;1;2;793.00
644;Hadassah Boyd Mack;Turismo - Sorocaba;1;4;792.89
645;Inez Middleton Decker;Turismo - Sorocaba;1;3;792.89
646;Autumn;Biotecnologia - Araras;2;3;792.78
647;Damon Guy Bell;Agroecologia - Araras;1;3;792.71
648;Arsenio;Ciencias Biologicas - Araras;1;5;792.63
649;Lila;Biotecnologia - Araras;1;4;792.56
650;Colt Miranda Bright;Turismo - Sorocaba;1;1;792.56
651;Hall Mills Griffith;Administracao - Sorocaba;1;1;792.50
652;Oliver;Agroecologia - Araras;1;3;792.43
653;Demetria Chan Wells;Fisica - Sao Carlos;1;3;792.29
654;Noelani Hester Griffin;Letras - Sao Carlos;1;2;792.25
655;Jerry Price Leblanc;Fisica - Araras;1;5;792.22
656;Amir Thompson Glover;Quimica - Sao Carlos;1;2;792.20
657;Phyllis Pearson Sampson;Matematica - Sao Carlos;1;1;792.14
658;Lawrence Fitzpatrick Langley;Engenharia Mecanica - Sao Carlos;2;1;792.14
659;India Tate Guerrero;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;4;792.14
660;Giacomo Golden Hodge;Ciencia da Computacao - Sorocaba;1;5;792.13
661;Yoshio Cohen Case;Engenharia Eletrica - Sao Carlos;2;4;792.00
662;Todd Becker Powers;Matematica - Sao Carlos;1;5;792.00
663;Dora Briggs Forbes;Fisioterapia - Sao Carlos;1;1;791.88
664;Kenyon Gates Morgan;Educacao Fisica - Sao Carlos;1;3;791.83
665;Quin Riggs Colon;Imagem Som - Sao Carlos;1;5;791.75
666;Skyler Pate Leon;Fisica - Sao Carlos;1;2;791.71
667;India Briggs Frye;Ciencias Econimcas - Sorocaba;1;4;791.67
668;Marsden Leblanc Long;Linguistica - Sao Carlos;1;1;791.63
669;Vernon Thornton Hensley;Engenharia Florestal - Sorocaba;1;5;791.63
670;Lamar Landry Ruiz;Matematica - Sorocaba;2;1;791.50
671;Mira Frazier Gonzalez;Pedagogia - Sao Carlos;2;2;791.43
672;Ivory;Agroecologia - Araras;1;5;791.43
673;Nell Harper Marquez;Matematica - Sao Carlos;2;1;791.43
674;Shea Roberson Grimes;Pedagogia - Sao Carlos;1;4;791.43
675;Uriah Moore Campos;Enfermagem - Sao Carlos;1;1;791.25
676;Mary Baldwin Goodwin;Engenharia Quimica - Sao Carlos;1;3;791.00
677;Brady Mccoy Simpson;Educacao Especial - Sao Carlos;2;2;791.00
678;Desirae Norris Curtis;Engenharia de Producao - Sorocaba;1;5;791.00
679;Walker Mitchell Arnold;Biotecnologia - Sao Carlos;1;2;791.00
680;Delilah Hahn Valencia;Engenharia Civil - Sao Carlos;1;1;790.88
681;Mannix Burks Kemp;Quimica - Sorocaba;1;3;790.67
682;Mary Stanley Sparks;Ciencia da Computacao - Sorocaba;1;3;790.63
683;Dominic Bell Greer;Engenharia Quimica - Sao Carlos;1;4;790.57
684;Emi Alston Parsons;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;2;3;790.43
685;Kristen Stevens Cotton;Ciencias Sociais - Sao Carlos;1;1;790.43
686;Wanda Osborne Contreras;Terapia Ocupacional - Sao Carlos;1;3;790.33
687;Devin Schwartz Albert;Ciencia da Computacao - Sorocaba;2;4;790.25
688;Rhona Webb Moreno;Engenharia de Producao - Sorocaba;1;3;790.13
689;September Williamson Whitney;Engenharia Florestal - Sorocaba;1;1;790.00
690;Lenore Mccarthy Gibson;Fisica - Araras;1;2;789.89
691;McKenzie Cooke Marsh;Linguistica - Sao Carlos;1;1;789.88
692;Hilda Fulton Gonzales;Pedagogia - Sorocaba;1;5;789.88
693;Arsenio Santiago Lyons;Ciencias Sociais - Sao Carlos;2;3;789.86
694;Bevis Larsen Larson;Matematica - Sao Carlos;1;1;789.86
695;Jerry Battle Sargent;Letras - Sao Carlos;1;4;789.75
696;Marsden Quinn Downs;Letras - Sao Carlos;1;2;789.75
697;Leandra Boyd Mercado;Educacao Especial - Sao Carlos;1;4;789.71
698;Oscar Page Floyd;Filosofia - Sao Carlos;1;4;789.63
699;Laith Huff Bentley;Gestao e Analise Ambiental - Sao Carlos;1;5;789.63
700;Tyrone Carney Langley;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;2;5;789.57
701;Camille Sweet Benson;Ciencias Econimcas - Sorocaba;1;3;789.56
702;Uta Schultz Bass;Ciencias Econimcas - Sorocaba;1;5;789.56
703;Cleo Justice Frazier;Biotecnologia - Sao Carlos;2;4;789.50
704;Hermione Horn Moody;Ciencias Biologicas - Sorocaba;1;5;789.50
705;Hakeem Gilmore Mooney;Engenharia de Producao - Sorocaba;1;1;789.50
706;Pamela Swanson Barrett;Turismo - Sorocaba;1;2;789.44
707;Desirae Soto Sykes;Engenharia de Materiais - Sao Carlos;2;4;789.43
708;Alfreda Garner Saunders;Engenharia Quimica - Sao Carlos;1;3;789.43
709;Olivia Owens Wood;Enhenharia de Producao - Sao Carlos;1;4;789.29
710;Calvin Hester Foley;Enhenharia de Producao - Sao Carlos;2;2;789.29
711;Joel Flowers Livingston;Engenharia Quimica - Sao Carlos;1;5;789.00
712;Zane Hale Garrett;Engenharia Quimica - Sao Carlos;2;4;789.00
713;Zia Fitzgerald Cleveland;Gestao e Analise Ambiental - Sao Carlos;1;3;789.00
714;Kristen Golden Gibson;Matematica - Sao Carlos;1;1;788.86
715;Jack Patrick Hunt;Medicina - Sao Carlos;1;5;788.71
716;Elliott Gay Roberts;Engenharia Agronomica - Araras;1;3;788.71
717;Serina Miranda Petty;Engenharia Eletrica - Sao Carlos;1;3;788.71
718;Marny Wheeler Acevedo;Engenharia Fisica - Sao Carlos;2;1;788.43
719;Roanna Garner Berry;Engenharia Mecanica - Sao Carlos;1;1;788.29
720;Mason Kidd Fuller;Quimica - Sao Carlos;1;1;788.20
721;Dorian Russell Cox;Engenharia Eletrica - Sao Carlos;1;4;788.14
722;Juliet Tran Moody;Traducao e Interpretacao em Lingua Brasileira de Sinais - Libras/Lingua Portuguesa - Sao Carlos;1;3;788.14
723;Bo Johnson Fulton;Pedagogia - Sorocaba;2;2;788.00
724;Julie Vaughan Coleman;Quimica - Araras;1;3;787.89
725;Ali Sellers Craft;Pedagogia - Sorocaba;1;1;787.88
726;Peter Wilder Johnson;Ciencias Biologicas - Araras;1;2;787.88
727;Melyssa Sawyer Manning;Ciencias Biologicas - Sorocaba;1;3;787.88
728;Nehru Odom Harrington;Engenharia de Producao - Sorocaba;1;1;787.75
729;Melinda Henry Ellison;Biblioteconomia - Sao Carlos;2;3;787.63
730;Charity Conrad Hicks;Gestao e Analise Ambiental - Sao Carlos;1;5;787.25
731;Sylvester Gilliam Hull;Terapia Ocupacional - Sao Carlos;2;2;787.22
732;Wesley Byrd Pittman;Linguistica - Sao Carlos;1;1;787.13
733;Hyatt Carey Page;Engenharia Civil - Sao Carlos;2;3;787.00
