Classificados por curso:

Curso:;Agroecologia - Araras
Posicao;Nome;Opcao;Grupo;Media
25;ILLIANA DECKER GARRISON;2;3;755.22
26;RAMA BOND HILL;1;3;754.11
27;SIGOURNEY HUMPHREY GREENE;1;1;751.33
28;GENEVIEVE BENSON HATFIELD;1;2;750.44
29;NYSSA BONNER HICKMAN;1;2;748.78
30;SADE WHITNEY HOPPER;2;1;748.00
31;BRENDEN ORTIZ RIVERA;1;4;744.11
32;AZALIA SINGLETON HARRINGTON;2;1;742.44
33;ALEXANDRA SIMS MAYO;1;2;742.00
34;KIAYADA LOWE HINES;2;5;734.44
35;JANE PATRICK MARSHALL;2;4;732.89
36;CHANDA SLATER SANDERS;1;5;715.89
37;BEVIS HORNE MEDINA;2;5;707.22
38;CHARITY DANIEL CARNEY;2;1;704.11
39;KRISTEN GILLIAM SAVAGE;1;5;698.22
40;LUNEA SOLOMON WATTS;2;1;686.44
41;BELL HEWITT GARDNER;1;5;675.78
42;WILLIAM CALHOUN CALLAHAN;2;5;658.78
43;DEACON TRUJILLO BURTON;2;5;649.78
44;ARTHUR HOLLAND CHERRY;2;5;642.22
45;MACKENZIE GUERRERO CAMPBELL;1;5;638.56
46;CALISTA CASTILLO MCPHERSON;1;5;629.78
47;PENELOPE DAVENPORT BURT;2;5;576.67
48;IMELDA STANLEY MERRILL;1;5;573.33
49;JOSEPHINE ROWE WARD;2;5;527.44
50;IGOR HARVEY BROWN;2;5;515.11


Curso:;Engenharia de Producao - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;BRUCE CASE CRANE;1;4;884.00
2;HAYES MEYERS DURHAM;1;1;853.25
3;DUSTIN CARRILLO MURPHY;1;4;843.88
4;COLORADO HARRIS HOUSE;1;2;833.50
5;HIRAM WYATT MCINTYRE;1;3;832.75
6;FLEUR SINGLETON KNOX;1;1;828.38
7;DOMINIQUE ASHLEY FUENTES;1;1;818.13
8;SILAS DALE HAMILTON;1;3;816.88
9;NEIL ORR ALVARADO;1;1;811.25
10;JADEN PEARSON SANTOS;1;1;809.13
11;ALEA MAYS BAXTER;1;5;808.75
12;HADASSAH BALDWIN HARRISON;2;5;806.88
13;EBONY WILLIAM BARRON;1;4;799.75
14;ROTH NEWTON CHANDLER;1;3;798.25
15;DESIRAE NORRIS CURTIS;1;5;791.00
16;RHONA WEBB MORENO;1;3;790.13
17;HAKEEM GILMORE MOONEY;1;1;789.50
18;NEHRU ODOM HARRINGTON;1;1;787.75
19;SHARON CLEMENTS DIAZ;2;3;785.63
20;PASCALE WATERS LEBLANC;1;4;785.00
21;ROSE PRICE GUTIERREZ;1;5;782.75
22;BARBARA REILLY HALL;1;4;781.63
23;RAFAEL SIMMONS SCOTT;2;2;779.38
24;GARTH VEGA MCBRIDE;2;3;778.63
25;LEILANI RIDDLE MCCRAY;1;2;777.00
26;HEIDI SHORT VELASQUEZ;1;4;776.38
27;ORLA CASTANEDA CAIN;1;2;773.25
28;AVYE PRATT ZIMMERMAN;1;3;768.88
29;SHAD BRYANT MACDONALD;1;2;765.50
30;DEXTER NIELSEN VANG;1;1;755.75
31;HOPE BRUCE BOYD;1;1;751.38
32;ALFONSO HOUSE DAUGHERTY;1;3;751.13
33;IDOLA DAVID GILLIAM;2;2;751.00
34;CHEYENNE WASHINGTON THOMPSON;2;3;750.38
35;SYLVIA CASTANEDA MEJIA;1;5;736.13
36;JOY BENTON DONALDSON;1;5;709.88
37;FARRAH HEWITT CROSS;1;5;708.00
38;MOLLY BOOKER KNIGHT;1;5;707.75
39;VELMA REED WADE;1;5;693.00
40;CIARAN ONEILL WHITNEY;2;5;684.38
41;IVY CLEMONS SKINNER;1;5;680.13
42;JESSE LESTER FARRELL;1;5;676.25
43;JUSTIN GILMORE PATRICK;2;5;666.63
44;HOWARD HOLDER GOMEZ;1;5;655.75
45;BAXTER YORK WILCOX;1;5;654.63
46;AIMEE COX LINDSEY;2;5;653.00
47;CHASTITY GATES MEYERS;1;5;639.50
48;PHOEBE BRAY VALDEZ;1;5;618.88
49;SHOSHANA MATHIS BUCHANAN;1;5;616.75
50;INDIA CROSS BISHOP;2;5;616.50
51;WHOOPI HERRING DUNLAP;1;5;608.63
52;LACEY FARRELL WOOTEN;2;5;607.00
53;WILLA WALLACE SYKES;2;5;605.63
54;MARAH BRANCH AYERS;1;5;571.13
55;IRA HARRINGTON WOODS;1;5;556.75


Curso:;Engenharia Florestal - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;YEN POPE PATRICK;1;1;860.38
2;KENYON GOOD BECKER;1;1;852.88
3;MARCIA ALFORD KLINE;1;1;848.75
4;VERNON FISHER BRADFORD;1;2;836.75
5;MACKENZIE MATHEWS HARVEY;1;4;831.88
6;JASPER NIELSEN MCCULLOUGH;1;3;830.25
7;GANNON AGUIRRE HERRING;1;2;826.88
8;VERONICA JACKSON DOYLE;1;4;826.38
9;VERNON SANDERS HOLMAN;2;4;825.88
10;KAMEKO BLACK MATTHEWS;1;1;820.50
11;BURKE JUAREZ TYLER;1;2;805.25
12;MIKAYLA WOLFE VELAZQUEZ;1;5;804.38
13;REECE CAMPBELL CLEMONS;1;3;803.00
14;KIRESTIN PERRY SWEET;1;3;800.50
15;RAVEN GOLDEN HENDERSON;1;2;793.88
16;VERNON THORNTON HENSLEY;1;5;791.63
17;SEPTEMBER WILLIAMSON WHITNEY;1;1;790.00
18;PHYLLIS MARTIN SHEPHERD;2;3;786.00
19;CLAIRE DOTSON HART;2;1;781.00
20;DAPHNE NASH LOGAN;1;3;779.75
21;BRUNO LUNA SANTIAGO;1;3;772.50
22;BYRON JAMES MERRITT;1;4;769.75
23;ISADORA BOND PRUITT;1;5;749.25
24;JOLENE ROJAS POTTS;1;5;738.13
25;DENISE KELLY HAYDEN;1;5;734.75
26;QUEMBY BOYLE DURHAM;1;5;729.13
27;CIARAN HERNANDEZ GOULD;2;5;710.13
28;JACQUELINE FRAZIER CAMPOS;2;5;707.63
29;COBY COHEN ROBLES;1;5;703.88
30;ALFONSO PATRICK FARMER;1;5;700.13
31;YETTA QUINN HUGHES;1;5;693.75
32;BRIELLE RICH CORTEZ;2;5;684.25
33;NICOLE RIOS TORRES;2;5;680.88
34;YEN FRENCH POTTS;2;5;673.63
35;ULRIC GOOD CONRAD;2;5;673.38
36;JOLIE BERG BRADFORD;1;5;672.50
37;THOMAS PRATT GOODWIN;2;5;670.25
38;PRICE BULLOCK GILMORE;2;5;645.00
39;HEDLEY GALLEGOS LE;1;5;638.13
40;CATHERINE HAWKINS RICH;1;5;629.88


Curso:;Fisica - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;CALLY BUCHANAN GATES;1;4;873.89
2;TIMOTHY SHARPE WILLIAM;1;1;860.89
3;MYLES ROBLES COHEN;1;1;856.89
4;CAROLYN STARK PACHECO;1;2;846.11
5;HYACINTH FARMER VANCE;1;1;837.67
6;TREVOR BARRETT ALLEN;1;4;821.56
7;VIRGINIA HEWITT MENDOZA;1;3;820.67
8;NORA BLANCHARD REILLY;1;4;808.00
9;IGNACIA TATE CAMERON;1;5;804.89
10;JOY VAUGHN FRANKS;1;5;795.56
11;CARTER WILLIAMS BURRIS;1;1;785.44
12;MOHAMMAD HOBBS MCDANIEL;1;2;782.33
13;RUTH MCCULLOUGH MEJIA;1;5;780.00
14;MINERVA PRINCE NEAL;1;5;778.78
15;MADELINE ROY HOPPER;2;2;773.56
16;TIMOTHY BECKER TALLEY;1;5;755.44
17;MACON MOLINA WHEELER;1;5;751.67
18;NAOMI BOND GIBBS;1;3;744.56
19;DOLAN DEAN GILES;2;3;744.33
20;DARA DELEON SOTO;1;5;726.11
21;BECK MATHEWS BOYLE;2;5;723.44
22;GAIL VINCENT MORTON;1;5;699.44
23;AARON BALL STUART;2;5;676.67
24;ARMAND MCKNIGHT HORN;1;5;665.89
25;DEVIN WINTERS VARGAS;2;5;653.11


Curso:;Geografia - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;TYLER HARRIS LAMBERT;1;5;909.75
2;VIELKA COLON FRY;1;5;896.00
3;ROARY HOOVER BRADSHAW;1;3;886.75
4;WILLA PARKER TUCKER;1;5;814.75
5;ISABELLA SANDOVAL PARKER;1;1;809.13
6;MACAULAY HOLLAND FLORES;2;1;778.38
7;RINA JAMES DECKER;2;3;774.00
8;ISHMAEL BURKS SKINNER;1;1;773.63
9;OCTAVIA PETTY MEYER;1;2;771.38
10;VICTOR EWING FRENCH;1;5;768.13
11;MADISON BEAN HENDERSON;1;4;765.50
12;SOLOMON WELLS LARA;1;4;763.75
13;TAMEKAH CHAPMAN MCKNIGHT;2;1;763.63
14;CARLY DECKER LIVINGSTON;1;1;759.63
15;KAY CHEN REESE;1;2;758.75
16;KATO MADDEN DICKSON;2;1;757.13
17;WILLIAM HICKS STRICKLAND;1;3;756.38
18;ELVIS MURRAY VELASQUEZ;2;5;754.00
19;RAHIM MCINTOSH SALINAS;2;2;753.13
20;LEROY GOULD FRY;2;1;751.63
21;LENORE PAYNE HYDE;1;3;748.88
22;CASSADY CANTU MEADOWS;1;5;745.50
23;QUON KINNEY PETTY;1;2;743.88
24;CALLUM ENGLISH FREDERICK;1;5;742.75
25;JUSTINA MCINTYRE HENSLEY;2;4;741.25
26;LYLE DUNN SWEENEY;2;3;739.25
27;GRAY ANDERSON BURCH;1;1;738.75
28;EMERALD HOLLOWAY VAZQUEZ;1;5;735.50
29;LYDIA GRIFFITH FITZPATRICK;1;1;733.75
30;YVONNE STEIN COOK;1;2;730.38
31;GALVIN HOPKINS COFFEY;2;2;728.88
32;WILLA FREDERICK WHITFIELD;1;4;724.88
33;PASCALE BALL BATTLE;2;5;724.38
34;BRANDEN KLEIN DELGADO;2;3;723.75
35;LAITH WIGGINS HEATH;1;3;721.63
36;JORDAN BANKS CONNER;2;4;721.50
37;OPRAH MARSH PARK;1;5;720.63
38;ALEXANDRA CHRISTIAN MORRIS;2;4;716.88
39;HILEL WARNER COLON;1;5;715.75
40;LEN GARNER ADKINS;1;3;713.50
41;ALEXANDER VASQUEZ GRAVES;2;5;711.75
42;ELIZABETH WILSON GILES;2;3;702.75
43;GARRISON GILBERT KIRBY;1;5;701.00
44;HARRIET CONNER GLASS;2;5;688.13
45;JONAH ARNOLD WEBB;2;5;685.38
46;NIGEL BARNES BUTLER;2;5;681.50
47;ABRAHAM JENNINGS NAVARRO;1;5;666.00
48;BARCLAY BRADY GRANT;1;5;664.00
49;URSA STRONG HORN;1;5;659.25
50;ZEPH REEVES HANSEN;1;5;645.38
51;SEAN KIM BYERS;1;5;639.38
52;ZENAIDA DUFFY JORDAN;1;5;633.50
53;URSA JACOBSON SOTO;1;5;628.38
54;IMA HINTON MCGOWAN;1;5;627.00
55;KYLA KELLY BARRON;1;5;618.00
56;NINA COLE MCKINNEY;2;5;617.75
57;CAIRO DIAZ BATES;2;5;587.75
58;MURPHY ROBERSON COTTON;2;5;579.75


Curso:;Matematica - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;AMITY NASH BISHOP;1;3;873.50
2;JACOB GREENE MOON;1;4;868.38
3;KASEEM GALLEGOS EATON;1;4;843.38
4;LAURA YORK MORENO;1;1;841.88
5;IGOR RUSH WALLER;1;1;832.25
6;MARA VAUGHAN MATTHEWS;1;2;819.38
7;GEORGIA BLEVINS EWING;1;4;813.13
8;FAY LE PETERS;1;5;807.50
9;BUCKMINSTER MOONEY MARQUEZ;1;3;805.88
10;MORGAN DICKERSON ODONNELL;1;3;805.50
11;BRITANNEY MORAN LOPEZ;1;2;803.50
12;APHRODITE ABBOTT HERNANDEZ;1;1;794.25
13;LAMAR LANDRY RUIZ;2;1;791.50
14;OCEAN STANTON LANE;1;5;783.25
15;FARRAH BUCKLEY PICKETT;1;5;780.38
16;LAWRENCE FERGUSON FERRELL;1;5;776.50
17;WHILEMINA ATKINSON BOOTH;2;5;776.00
18;JAMALIA MORRIS WHITAKER;1;5;764.88
19;MARCIA STEIN LEON;2;2;763.00
20;AMELIA SCHNEIDER CHERRY;1;5;746.00
21;HAYFA CANTU SEARS;1;5;730.38
22;JUSTIN SALAZAR CONTRERAS;2;5;729.38
23;DEREK HAMMOND BERNARD;1;5;702.13
24;CLAYTON HAYNES NORRIS;1;5;698.88
25;AMENA PIERCE GLOVER;1;5;697.75


Curso:;Pedagogia - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;TREVOR SERRANO WOOD;1;4;837.00
2;DUSTIN TRUJILLO ROY;2;2;831.88
3;ANDREW RIVAS BUCK;1;2;825.88
4;CALLIE DAVIS CURTIS;1;2;825.00
5;CIARAN LEACH STEPHENSON;1;4;819.00
6;PETRA GARNER LAWRENCE;2;5;806.88
7;CHESTER REYNOLDS FLOWERS;1;1;803.13
8;BERTHA WHITFIELD BURKS;2;4;802.25
9;HILDA FULTON GONZALES;1;5;789.88
10;BO JOHNSON FULTON;2;2;788.00
11;ALI SELLERS CRAFT;1;1;787.88
12;BRENDEN CAREY GRAY;2;3;777.25
13;SERINA PUCKETT ACOSTA;1;4;775.25
14;SHAINE WOLF HOOD;1;4;773.63
15;AKEEM INGRAM RUTLEDGE;1;2;772.25
16;HANNA CROSBY HOPPER;2;3;772.13
17;NAOMI GONZALES WISE;1;2;768.63
18;GAIL HOPPER WASHINGTON;1;3;768.50
19;CLARE WILLIS MAY;1;5;768.25
20;COLLEEN COOK PECK;2;3;762.50
21;SARA MURRAY STRICKLAND;2;5;760.88
22;JERMAINE HAMPTON DUNCAN;1;3;760.13
23;GLORIA LANE DEJESUS;1;3;756.63
24;ALFONSO LLOYD SWANSON;2;4;751.88
25;CAILIN HENDRICKS PRICE;1;3;749.50
26;ERICA DANIEL WALTERS;2;3;749.13
27;BRITANNI SPARKS MARTIN;2;3;748.75
28;REGINA DYER SANDERS;2;1;727.50
29;KEVIN FRANCO DAVIS;1;5;724.25
30;BAKER KLEIN WITT;2;5;721.88
31;ELIANA MARTINEZ HINTON;2;1;712.38
32;DENNIS DECKER FORD;1;5;706.25
33;DILLON KANE BARNETT;1;1;698.50
34;JESSAMINE HATFIELD GRIFFITH;2;1;694.63
35;ADELE MEADOWS BENTLEY;2;1;693.38
36;DELILAH SHERMAN MCCORMICK;1;1;690.25
37;ORLANDO NIXON WEAVER;1;5;690.00
38;CARTER RANDOLPH CARLSON;1;5;689.50
39;LESLIE BURNS KIRBY;1;5;688.38
40;ORI MULLEN WASHINGTON;1;1;688.25
41;RISA COLLIER CANTRELL;1;5;677.25
42;PAUL MALDONADO ROGERS;2;5;659.75
43;TRAVIS MCPHERSON JOHNSON;1;5;658.75
44;MELISSA CHANDLER WOLFE;1;5;647.38
45;JACK JENNINGS MERCER;1;5;647.00
46;MICAH BRIGHT MADDOX;1;5;640.38
47;FELIX MORSE ARNOLD;1;5;630.50
48;CASSIDY KELLEY OCHOA;2;5;593.38
49;GERALDINE BEACH MASON;1;5;587.88
50;BRITANNI ROBLES FOSTER;1;5;571.25
51;HANAE PETERSEN ELLIOTT;2;5;568.75


Curso:;Quimica - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;SYDNEY OWENS FLOWERS;1;1;919.33
2;ISAIAH WHITE DILLON;1;2;891.56
3;BARRETT WOODARD GEORGE;1;2;866.00
4;COLLEEN DELGADO RUSSO;1;4;855.11
5;DELILAH MYERS CASEY;1;3;818.33
6;KENNETH PERRY MADDOX;2;1;817.56
7;EATON GUTHRIE FUENTES;1;2;815.00
8;HEIDI MENDOZA YANG;1;1;808.00
9;KIAYADA VILLARREAL FRANCIS;1;1;797.78
10;KENNEDY GUZMAN SARGENT;1;5;796.89
11;MIRA BALLARD CHANEY;1;4;793.67
12;MANNIX BURKS KEMP;1;3;790.67
13;HOLLEE BROWNING DOWNS;1;4;782.78
14;REBECCA LINDSEY STRICKLAND;2;3;780.22
15;ASHELY ROJAS QUINN;1;5;775.00
16;FLORENCE GUTHRIE HARPER;1;5;773.22
17;AKEEM BURGESS KING;1;5;771.22
18;BRADLEY BARRERA FARMER;1;5;762.67
19;GAY BURKE GALLAGHER;1;5;748.67
20;UNITY HERMAN TAYLOR;1;5;738.78
21;THOMAS SANDOVAL VAZQUEZ;1;5;731.67
22;FULTON MANNING HOBBS;1;5;720.33
23;CORA PECK GRANT;2;5;711.33
24;CARSON WOODWARD BURCH;1;5;711.11
25;ROSE MCDOWELL PRESTON;1;5;710.22


Curso:;Turismo - Sorocaba
Posicao;Nome;Opcao;Grupo;Media
1;AKEEM LOPEZ WOODS;1;3;886.67
2;JUSTIN GOMEZ HENSON;1;1;847.22
3;SEBASTIAN BRADSHAW BUCKLEY;1;3;831.22
4;NEVADA HEATH DAY;1;4;828.67
5;MARTIN RAMOS HOLMES;1;2;795.89
6;BREE PIERCE HOLLAND;1;3;794.00
7;WHITNEY COHEN JEFFERSON;1;1;793.22
8;HADASSAH BOYD MACK;1;4;792.89
9;INEZ MIDDLETON DECKER;1;3;792.89
10;COLT MIRANDA BRIGHT;1;1;792.56
11;PAMELA SWANSON BARRETT;1;2;789.44
12;URSA OWENS STANTON;1;5;784.89
13;COLT GARRETT CARLSON;1;5;784.00
14;CLARK MCNEIL MCGOWAN;2;4;782.44
15;ADELE DIXON JOHNSON;1;4;780.33
16;DREW HOLT BALLARD;1;1;778.67
17;BRITANNEY PALMER REILLY;1;3;778.67
18;FLORENCE COCHRAN MAY;2;1;775.22
19;JACK MALDONADO MATTHEWS;2;3;774.56
20;CAIRO BANKS WILLIAMS;1;2;769.11
21;CAROL VELASQUEZ GRIFFIN;1;5;766.56
22;EATON HARDIN WHITLEY;1;5;760.56
23;SCARLETT CHERRY HOLMAN;1;2;758.89
24;ALINE CARDENAS FITZGERALD;1;5;757.00
25;PORTIA BRYAN WOODS;1;5;754.78
26;PAKI COTE BARRY;1;1;743.22
27;SYBILL YOUNG GATES;1;5;739.67
28;NEVADA CHAN LEONARD;1;5;728.56
29;JOSHUA ENGLAND SCHWARTZ;1;5;727.56
30;GIL SANTOS BRADLEY;1;5;714.56
31;HOLLEE WEBER DAUGHERTY;1;5;713.33
32;REECE CANNON RIVERS;2;5;705.11
33;ABDUL NASH GREER;1;5;704.22
34;ZAHIR MANNING RAMSEY;1;5;701.00
35;DAI WINTERS RIVAS;1;5;659.33
36;EDAN HANSEN GUZMAN;1;5;647.33
37;SIGNE RAMIREZ WATSON;2;5;637.89
38;MELODIE CRANE DELEON;2;5;597.11
39;NOAH HERMAN RIVAS;2;5;564.33
40;FLEUR NORRIS KNOWLES;1;5;547.56


Curso:;Matematica - Sao Carlos
Posicao;Nome;Opcao;Grupo;Media
1;KASEEM MANNING GUTIERREZ;1;4;855.57
2;WYNNE CHRISTIAN BARNES;1;1;833.86
3;AHMED DURAN SELLERS;1;4;821.71
4;PETER YANG WELCH;1;4;808.43
5;XANTHUS RUSSELL DANIELS;1;1;801.00
6;BO HOOD LUCAS;1;4;796.14
7;PHYLLIS PEARSON SAMPSON;1;1;792.14
8;BEVIS LARSEN LARSON;1;1;789.86
9;KRISTEN GOLDEN GIBSON;1;1;788.86
10;MARI MASSEY ASHLEY;1;1;784.00
11;CHARLES MERRITT POLLARD;1;2;766.29
12;KENYON COTE CHURCH;1;3;759.00
13;ZACHERY CAMACHO DIXON;1;2;758.00
14;SAGE SUAREZ ADKINS;1;3;748.86
15;MONTANA DOYLE ROTH;1;5;746.14
16;HADLEY CHRISTIAN LANDRY;1;3;735.00
17;GARRISON MCCLURE KIRBY;1;3;730.86
18;RHODA STANTON DIAZ;2;2;725.86
19;SYDNEY DAY ROJAS;2;3;721.00
20;QUINN WATSON LARSEN;2;5;719.71
21;CRAIG DELANEY JARVIS;2;5;719.29
22;BO GRANT SAWYER;2;2;718.29
23;PAMELA MUELLER FRAZIER;2;5;716.71
24;ZOE PACHECO GREER;1;3;716.43
25;MATTHEW MENDEZ RUSSO;2;5;716.14
26;LAMAR JUSTICE ENGLAND;1;5;715.14
27;LEILANI BENTON ELLISON;2;5;709.43
28;ODESSA MATTHEWS HOUSTON;1;5;647.43
29;CAROL MYERS LEONARD;2;5;641.14
30;CHEROKEE HERMAN HARTMAN;1;5;614.43
31;KATHLEEN SYKES MCDOWELL;1;5;613.57
32;STACY HOLLOWAY LOVE;1;5;591.14
33;GERMAINE SANTIAGO FRANK;2;5;586.57
34;MAIA BRIGGS RANDOLPH;1;5;577.57
35;BETHANY WEISS WELLS;1;5;551.43
36;HEDY MALONE RUTLEDGE;2;5;514.29
37;ALICE DALE GILMORE;2;5;486.86


Curso:;Biblioteconomia - Sao Carlos
Posicao;Nome;Opcao;Grupo;Media
1;FREYA PRUITT MAXWELL;1;3;920.88
2;ALEXANDER AGUIRRE CASTANEDA;1;1;860.88
3;BARBARA FLETCHER PICKETT;1;1;851.88
4;DARRYL THORNTON PATEL;1;4;839.00
5;SADE VEGA JENNINGS;2;1;833.13
6;STONE BUTLER HARRINGTON;1;5;827.38
7;COLLEEN BUCK FRENCH;1;4;825.63
8;HOLMES WAGNER MCLEAN;1;1;824.75
9;IMOGENE LOPEZ JACOBS;1;4;823.50
10;REBEKAH BENNETT HORTON;1;5;819.13
11;ELVIS WALSH VAZQUEZ;1;4;818.50
12;KELLY MCLAUGHLIN LOPEZ;1;2;816.13
13;ELAINE DANIEL ROMAN;1;5;807.88
14;MELANIE ELLISON MOLINA;1;5;804.00
15;OSCAR SKINNER FOWLER;1;3;801.50
16;LAVINIA BARR PRUITT;1;1;797.25
17;QUON ONEAL KLINE;2;2;796.75
18;MELINDA HENRY ELLISON;2;3;787.63
19;ALTHEA FINLEY GREENE;1;2;778.50
20;KIBO DECKER JENKINS;2;2;777.13
21;JUDAH BALL CHARLES;1;4;776.50
22;STEVEN DEJESUS PRESTON;1;1;765.75
23;JANA CASH JONES;2;1;751.75
24;SHELBY TORRES HUFF;1;5;750.75
25;FATIMA ASHLEY POPE;2;3;750.75
26;FINN KAUFMAN DONALDSON;1;5;747.50
27;SHAELEIGH GRAHAM HART;1;3;744.00
28;CARYN HENDERSON KIDD;1;5;743.88
29;MADESON CARVER PATTERSON;1;3;743.13
30;CANDICE PALMER ELLISON;1;2;737.25
31;RAHIM TOWNSEND ALLEN;2;5;734.25
32;LACY ESTRADA LUNA;2;5;730.00
33;AXEL HORTON SALAS;1;3;726.25
34;XENA GONZALES MUNOZ;1;5;722.63
35;PAKI MCBRIDE MCMAHON;1;5;698.88
36;PRICE HARPER CALDWELL;1;5;673.38
37;REECE COOKE PITTMAN;1;5;672.38
38;AHMED EVANS BARLOW;2;5;667.13
39;PAKI GUERRERO CHAMBERS;2;5;654.00
40;LAWRENCE BROWN HESS;1;5;648.25
41;ADRIA DURAN RANDALL;1;5;633.25
42;IFEOMA SULLIVAN DONOVAN;1;5;628.88
43;CALISTA MCINTOSH FIELDS;1;5;622.88
44;VENUS HICKS GARRISON;1;5;561.75
45;AUGUST BLAIR PALMER;2;5;514.25


Curso:;Biotecnologia - Sao Carlos
Posicao;Nome;Opcao;Grupo;Media
1;REAGAN SNOW SIMON;1;3;925.25
2;LUCIAN HOLMES WEST;1;4;888.75
3;BRIANNA CALLAHAN BOWERS;1;3;862.25
4;NOLAN BEST MEADOWS;1;1;841.25
5;REGAN BOYER ROWLAND;1;5;840.25
6;EVE CONRAD DANIELS;1;5;810.50
7;ELTON WATERS SAUNDERS;1;3;808.75
8;HALEE SCHMIDT SHARP;1;1;802.00
9;PASCALE PUGH WALLER;1;2;800.25
10;MACY LYONS VARGAS;1;1;800.25
11;VERA VARGAS TILLMAN;1;2;797.25
12;WALKER MITCHELL ARNOLD;1;2;791.00
13;CLEO JUSTICE FRAZIER;2;4;789.50
14;OLEG FIELDS ROBLES;1;5;787.00
15;TEEGAN BAILEY RYAN;1;4;784.00
16;HAVIVA YATES SYKES;1;5;782.25
17;KIARA SIMS ALEXANDER;1;1;782.00
18;TRAVIS VALENZUELA BLANCHARD;2;1;781.50
19;SILAS MCCARTY BRIGHT;2;3;779.25
20;DAVIS RANDOLPH CHRISTIAN;1;1;775.25
21;PALOMA MIRANDA CALDERON;1;4;769.25
22;KEANE KANE COMPTON;2;5;761.50
23;JULIAN DENNIS MASSEY;2;2;749.75
24;ANIKA WATKINS FLETCHER;1;5;745.75
25;GARTH VALDEZ BURGESS;1;5;740.50
26;DEBORAH MANN OSBORN;1;3;740.25
27;NOEL OCHOA JEFFERSON;1;5;738.50
28;EDEN LITTLE HAYS;1;3;734.25
29;CLEO GARNER SANFORD;1;5;733.00
30;TANEK MEADOWS TYLER;1;5;732.50
31;KIMBERLEY SALAS HARRIS;2;5;714.75
32;XENOS LUCAS OLSON;1;5;714.25
33;JORDAN FISCHER BLACK;1;5;683.75
34;ANGELICA HUTCHINSON AYALA;2;5;678.75
35;THADDEUS MANNING MCINTOSH;1;5;666.50
36;HALEY FIGUEROA BENDER;1;5;653.75
37;JEREMY SHEPARD GILLIAM;1;5;650.25
38;HARPER KIRBY BRADLEY;2;5;637.25
39;ARTHUR CROSBY MCCARTHY;1;5;599.75
40;LUCAS ADAMS BURNETT;1;5;589.25
41;DAPHNE VALENCIA GARRETT;2;5;575.25
42;PALOMA HARDING AUSTIN;2;5;565.00
43;GUY SALAS HOOD;1;5;559.25
44;JENNIFER HOLMAN GARZA;1;5;521.50


Curso:;Ciencia da Computacao - Sao Carlos
Posicao;Nome;Opcao;Grupo;Media
1;GAVIN HORNE STEELE;1;3;885.25
2;BARBARA OBRIEN SHEPHERD;1;4;864.00
3;BAXTER NEWMAN QUINN;1;1;853.88
4;BASIL BERGER WHITEHEAD;1;3;850.25
5;LUKE LYONS SALINAS;1;4;850.25
6;MELINDA KENNEDY MENDOZA;1;1;836.13
7;CHARDE MCDONALD HARDING;1;1;829.13
8;NYSSA KIRKLAND RIDDLE;2;3;812.50
9;RUTH EVERETT BARLOW;1;5;810.00
10;HARRISON COLON RATLIFF;1;2;809.50
11;GAY KNOX HALE;2;4;800.50
12;REGAN HODGE HESTER;1;3;795.13
13;ORSON NORRIS CRUZ;1;4;793.75
14;LUCIUS MARQUEZ SLATER;1;4;793.25
15;BRIAN HOOVER UNDERWOOD;1;4;793.00
16;URIEL CONTRERAS JOHNSON;1;1;784.63
17;ROANNA TURNER GOODMAN;1;2;781.88
18;MONTANA NOEL HEAD;1;2;781.00
19;EVAN WALTERS WORKMAN;1;1;772.13
20;CHRISTOPHER MCCARTY NASH;1;1;767.25
21;DEMETRIUS MOORE SHORT;2;2;762.25
22;SETH FREDERICK MCFARLAND;1;3;762.13
23;SHANA GARZA FISHER;1;1;760.88
24;CALVIN STAFFORD FIELDS;1;5;756.25
25;OLIVER BROWNING ROWLAND;2;5;755.63
26;OLEG YORK MCLAUGHLIN;2;5;754.75
27;AMENA STEELE FERRELL;1;3;749.25
28;REECE FARLEY CHASE;1;2;748.88
29;CALLY ZIMMERMAN HANSON;1;2;740.00
30;MONA FLEMING GREER;1;3;735.63
31;BRITANNEY ARNOLD DUNLAP;2;1;733.00
32;KEVIN VASQUEZ WILCOX;1;5;730.50
33;PENELOPE WILLIAMS DAY;2;5;725.25
34;SOPOLINE BROCK MALDONADO;2;1;718.88
35;CHANDLER RAYMOND WILLIAM;2;5;717.50
36;CHRISTINE NOLAN BARRY;1;3;707.25
37;SHAELEIGH BOWERS ELLISON;1;5;690.88
38;DENTON CALHOUN GARNER;2;3;690.50
39;GAVIN EMERSON MARSH;1;5;687.50
40;MOLLY SCHROEDER WALTER;2;5;676.25
41;HAYFA OLIVER BALL;1;5;637.00
42;WALKER THOMAS HART;1;5;633.13
43;IVY CASH NUNEZ;1;5;631.38
44;MACON RICE RAMIREZ;1;5;624.25
45;JEROME FOX GALLOWAY;1;5;592.50
46;SHAD WEBSTER PATTERSON;2;5;590.25
